trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9966398834184859}",20,0,-77.91535030122827,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9964740739761475}",20,13,0.05286568193122143,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.996304278638842}",25,9,-90.13700170254691,"{0: 5, 1: 6, 2: 3, 3: 2, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.9961304980857502}",25,0,-158.32593587423935,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-129.41436912802226,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9957709841286342}",20,0,-69.60039335442877,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9955852521626654}",25,0,-138.6284751678741,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9953955378570153}",20,5,-22.96395962942368,"{0: 11, 1: 3, 2: 0, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.995201841970541}",35,0,-324.8912039579396,"{0: 16, 1: 5, 2: 6, 3: 3, 4: 5}",0
51,False,"{'a': 0.5, 'e': 0.9950041652780257}",30,0,-179.51586599069805,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.994802508570176}",25,0,-83.87837243283849,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9945968726536185}",20,0,-83.91113986570444,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.9943872583508965}",30,0,-113.51739886091973,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9941736665004669}",30,0,-245.62963768124956,"{0: 13, 1: 5, 2: 7, 3: 2, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.9939560979566968}",20,0,-44.23899054333313,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9937345535898603}",25,0,-127.1539418662671,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9935090342861344}",30,0,-144.14994521233183,"{0: 16, 1: 8, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9932795409475959}",20,0,-91.7272443023117,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.993046074492218}",20,0,-57.606867656254664,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9928086358538663}",20,0,-79.65058595192579,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9925672259822949}",25,0,-202.2686812823246,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9923218458431429}",20,0,-104.15469424373312,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9920724964179307}",30,0,-204.8231258255613,"{0: 15, 1: 3, 2: 6, 3: 5, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9918191787040556}",30,0,-127.0552597329608,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.9915618937147881}",20,0,-71.90802531241046,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9913006424792677}",20,0,-81.12501271785106,"{0: 12, 1: 4, 2: 1, 3: 3, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.9910354260424993}",20,0,-116.60214498897642,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.990766245465348}",25,13,-26.859027140959505,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.9904931018245359}",20,0,-43.13784160626105,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.9902159962126371}",25,0,-88.0461806573827,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9899349297380738}",20,0,-131.74993625188765,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.9896499035251115}",25,0,-91.53921147701483,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9893609187138546}",20,0,-43.43785444410904,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.989067976460242}",25,0,-69.7302623791384,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9887710779360422}",20,0,-150.450583918326,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.9884702243288492}",25,0,-119.05486886173418,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.9881654168420767}",25,0,-232.1259702656746,"{0: 9, 1: 3, 2: 8, 3: 3, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9878566566949545}",20,0,-87.2461578778223,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.9875439451225226}",20,0,-112.56283846548682,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9872272833756269}",25,0,-144.1284592171538,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.986906672720914}",20,0,-87.68001367093385,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
